#{"t_start": 1749653423.9979162, "env_id": "None"}
r,l,t
112.264181,251,1.283544
130.532459,138,1.338686
120.913478,190,1.408768
-95.269579,96,1.443768
135.537854,110,1.489922
126.559143,198,1.564143
128.805676,206,1.63733
135.673831,93,1.67624
131.969523,152,1.733404
-89.718226,75,1.760412
136.425084,90,1.798514
139.780948,84,1.835514
-83.8283,153,1.893514
-85.608904,30,1.908515
132.627721,114,1.954522
130.58093,123,2.676553
-66.263021,40,2.697657
120.657774,204,2.77307
-84.00357,25,2.78607
135.935319,84,2.824189
-92.684086,209,2.898196
133.978671,100,2.942196
133.329349,104,2.991961
-71.322297,82,3.025317
-73.906144,81,3.058438
-83.809698,24,3.07043
134.48112,116,3.121433
-100.119709,125,3.165612
138.277756,90,3.206604
125.816092,183,3.273867
142.32971,76,3.310868
-82.011468,23,3.32287
135.224729,132,3.375174
132.272477,130,3.427181
-75.167188,103,3.469174
137.929073,69,4.139182
-89.243017,224,4.216023
131.616163,145,4.27128
-83.357342,21,4.282199
137.834461,72,4.314259
130.234035,119,4.361393
135.882879,79,4.396385
132.579329,126,4.448393
128.817845,168,4.51096
123.408982,221,4.588466
-73.416494,88,4.624648
-85.207908,40,4.640657
131.07421,133,4.691649
131.523204,126,4.739657
138.277353,96,4.78095
-98.372763,121,4.821908
-83.807833,24,4.834276
138.374361,95,4.874276
137.472788,91,4.913366
-82.954543,20,4.924366
-73.568705,81,5.612452
-83.059893,24,5.628066
137.073782,98,5.670929
140.835924,64,5.701515
-85.31001,37,5.718817
137.525684,97,5.760243
-66.463756,41,5.783229
138.97556,75,5.819691
143.178662,61,5.852006
141.985875,61,5.883006
134.976684,110,5.928083
123.472884,142,5.983098
139.025646,94,6.022565
143.582698,66,6.055565
-83.156321,18,6.066793
-69.904068,48,6.091947
136.582978,93,6.133322
-70.414346,69,6.165503
-82.310479,27,6.179502
134.920339,112,6.226502
132.628911,103,6.276502
-86.160735,35,6.292917
119.811238,195,6.365918
137.080853,77,6.403133
-68.107305,49,6.428133
136.330662,93,6.469133
131.879059,101,6.517323
